"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"Embedded antennas","1","YC0001CA","YC0001CA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","2","YC0002AA","YC0002AA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","3","YC0002BA","YC0002BA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","4","YC0003BA","YC0003BA","4G SMT Mount PCB chip IFA embedded antenna",""
"Embedded antennas","5","YC0009AA","YC0009AA","Wi-Fi SMT mount ceramic chip IFA embedded antenna",""
"Embedded antennas","6","YC0010AA","YC0010AA","Wi-Fi SMT mount ceramic chip monopole embedded antenna",""
"Embedded antennas","7","YC0013AA","YC0013AA","GNSS SMT mount ceramic chip passive embedded antenna",""
"Embedded antennas","8","YC0017DA","YC0017DA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","9","YC0017EA","YC0017EA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","10","YC0018CA","YC0018CA","5G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","11","YCGS010AA","YCGS010AA","GNSS SMT mount ceramic chip passive embedded antenna",""
"Embedded antennas","12","YCIS002AA","YCIS002AA","LPWA/ISM SMT mount ceramic chip IFA embedded antenna",""
"Embedded antennas","13","YCIS003AA","YCIS003AA","LPWA/ISM SMT mount ceramic chip IFA embedded antenna",""
"Embedded antennas","14","YECT004W1A","YECT004W1A","5G terminal mount rubber dipole external antenna",""
"Embedded antennas","15","YECT005W1A","YECT005W1A","5G terminal mount rubber dipole external antenna",""
"Embedded antennas","16","YF0003FA","YF0003FA","4G adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","17","YF0006PA","YF0006PA","4G adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","18","YF0007KA","YF0007KA","4G adhesive mount PCB + cable monopole embedded antenna",""
"Embedded antennas","19","YF0011KA","YF0011KA","Wi-Fi adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","20","YF0011SA","YF0011SA","Wi-Fi adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","21","YF0017FA","YF0017FA","5G adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","22","YF0017GA","YF0017GA","5G adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","23","YF0020EA","YF0020EA","5G adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","24","YF0022DA","YF0022DA","4G adhesive mount PCB + cable monopole embedded antenna",""
"Embedded antennas","25","YF0023FA","YF0023FA","Wi-Fi adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","26","YF0023GA","YF0023GA","Wi-Fi adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","27","YF0023HA","YF0023HA","Wi-Fi adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","28","YF0023IA","YF0023IA","Wi-Fi adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","29","YF0026AA","YF0026AA","Wi-Fi adhesive mount FPC + cable PIFA embedded antenna",""
"Embedded antennas","30","YF0026LA","YF0026LA","Wi-Fi adhesive mount FPC + cable IFA embedded antenna",""
"Embedded antennas","31","YF0027AA","YF0027AA","Wi-Fi adhesive mount FPC + cable PIFA embedded antenna",""
"Embedded antennas","32","YF0027CA","YF0027CA","Wi-Fi adhesive mount FPC + cable IFA embedded antenna",""
"Embedded antennas","33","YF0028AA","YF0028AA","4G adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","34","YF0029AA","YF0029AA","Wi-Fi adhesive mount FPC + cable IFA embedded antenna",""
"Embedded antennas","35","YF0029CA","YF0029CA","Wi-Fi adhesive mount FPC + cable IFA embedded antenna",""
"Embedded antennas","36","YFBC001WWA","YFBC001WWA","Wi-Fi SMT mount ceramic chip loop embedded antenna",""
"Embedded antennas","37","YFBP001WWA","YFBP001WWA","Wi-Fi SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","38","YFBP001WWB","YFBP001WWB","Wi-Fi SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","39","YFBP001WWC","YFBP001WWC","Wi-Fi SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","40","YFCA002HA","YFCA002HA","4G adhesive mount FPC + cable monopole embedded antenna",""
"Embedded antennas","41","YFCA010AA","YFCA010AA","5G adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","42","YFCA011AA","YFCA011AA","5G adhesive mount FPC + cable dipole embedded antenna",""
